Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.800835,144.799842,Upper Limit,14910GB_L_P1,Freeway MVT on Western Ring Rd NWB between Boundary Rd On Ramp (ob) & Fitzgerald Rd Off Ramp (ob),OK,14.47,5868.96,VicRoads Production,
-37.797766,144.788673,Measured,14914GB_L_P0,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),Failed,,,VicRoads Production,
-37.797721,144.788631,Upper Limit,14914GB_L_P1,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),Failed,,,VicRoads Production,
-37.800469,144.796175,Upper Limit,14911GB_L_P1,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),Fault,10.00,5526.69,VicRoads Production,
-37.800475,144.796237,Upper Limit,14911GB_L_P0,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),OK,10.81,5882.27,VicRoads Production,
-37.800314,144.794642,Measured,14912GB_L_P0,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),OK,8.25,3348.14,VicRoads Production,
-37.800307,144.794581,Measured,14912GB_L_P1,Freeway MVT on Western Ring Rd NWB between Fitzgerald Rd Off Ramp (ob) & Fitzgerald Rd On Ramp (ob),OK,8.28,3337.61,VicRoads Production,
-37.822056,144.810418,Upper Limit,14903GB_P0,Freeway MVT on Western Ring Rd NWB between Western Ring Rd (ob) Join & Boundary Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.822004,144.810397,Upper Limit,14903GB_P1,Freeway MVT on Western Ring Rd NWB between Western Ring Rd (ob) Join & Boundary Rd Off Ramp (ob),Failed,,,VicRoads Production,
-37.703566,144.892035,Upper Limit,14950AL_E_P0,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,Failed,,,VicRoads Production,
-37.703612,144.892003,Upper Limit,14950AL_E_P1,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,Failed,,,VicRoads Production,
-37.706928,144.890626,Measured,1910S_P0,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,Fault,6.15,1390.30,VicRoads Production,
-37.703046,144.892382,Upper Limit,1910E_P0,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,OK,7.17,1745.95,VicRoads Production,
